Epoch: 1/200, validation loss: 0.088322, learning rate: 0.005
Epoch: 2/200, validation loss: 0.079038, learning rate: 0.005
Epoch: 3/200, validation loss: 0.074914, learning rate: 0.005
Epoch: 4/200, validation loss: 0.071056, learning rate: 0.005
Epoch: 5/200, validation loss: 0.070158, learning rate: 0.005
Epoch: 6/200, validation loss: 0.067687, learning rate: 0.005
Epoch: 7/200, validation loss: 0.065949, learning rate: 0.005
Epoch: 8/200, validation loss: 0.064147, learning rate: 0.005
Epoch: 9/200, validation loss: 0.065066, learning rate: 0.005
Epoch: 10/200, validation loss: 0.062623, learning rate: 0.005
Epoch: 11/200, validation loss: 0.061894, learning rate: 0.005
Epoch: 12/200, validation loss: 0.060346, learning rate: 0.005
Epoch: 13/200, validation loss: 0.060708, learning rate: 0.005
Epoch: 14/200, validation loss: 0.059502, learning rate: 0.005
Epoch: 15/200, validation loss: 0.059491, learning rate: 0.005
Epoch: 16/200, validation loss: 0.059215, learning rate: 0.005
Epoch: 17/200, validation loss: 0.057793, learning rate: 0.005
Epoch: 18/200, validation loss: 0.057778, learning rate: 0.005
Epoch: 19/200, validation loss: 0.057959, learning rate: 0.005
Epoch: 20/200, validation loss: 0.056895, learning rate: 0.005
Epoch: 21/200, validation loss: 0.056863, learning rate: 0.005
Epoch: 22/200, validation loss: 0.056063, learning rate: 0.005
Epoch: 23/200, validation loss: 0.056167, learning rate: 0.005
Epoch: 24/200, validation loss: 0.055339, learning rate: 0.005
Epoch: 25/200, validation loss: 0.055111, learning rate: 0.005
Epoch: 26/200, validation loss: 0.055130, learning rate: 0.005
Epoch: 27/200, validation loss: 0.054356, learning rate: 0.005
Epoch: 28/200, validation loss: 0.054741, learning rate: 0.005
Epoch: 29/200, validation loss: 0.054086, learning rate: 0.005
Epoch: 30/200, validation loss: 0.053564, learning rate: 0.005
Epoch: 31/200, validation loss: 0.054179, learning rate: 0.005
Epoch: 32/200, validation loss: 0.053375, learning rate: 0.005
Epoch: 33/200, validation loss: 0.052873, learning rate: 0.005
Epoch: 34/200, validation loss: 0.053093, learning rate: 0.005
Epoch: 35/200, validation loss: 0.052370, learning rate: 0.005
Epoch: 36/200, validation loss: 0.051886, learning rate: 0.005
Epoch: 37/200, validation loss: 0.052710, learning rate: 0.005
Epoch: 38/200, validation loss: 0.051867, learning rate: 0.005
Epoch: 39/200, validation loss: 0.052158, learning rate: 0.005
Epoch: 40/200, validation loss: 0.051253, learning rate: 0.005
Epoch: 41/200, validation loss: 0.052193, learning rate: 0.005
Epoch: 42/200, validation loss: 0.051529, learning rate: 0.005
Epoch: 43/200, validation loss: 0.051153, learning rate: 0.005
Epoch: 44/200, validation loss: 0.051172, learning rate: 0.005
Epoch: 45/200, validation loss: 0.050914, learning rate: 0.005
Epoch: 46/200, validation loss: 0.051098, learning rate: 0.005
Epoch: 47/200, validation loss: 0.050909, learning rate: 0.005
Epoch: 48/200, validation loss: 0.050367, learning rate: 0.005
Epoch: 49/200, validation loss: 0.050716, learning rate: 0.005
Epoch: 50/200, validation loss: 0.050135, learning rate: 0.005
Epoch: 51/200, validation loss: 0.049872, learning rate: 0.005
Epoch: 52/200, validation loss: 0.050246, learning rate: 0.005
Epoch: 53/200, validation loss: 0.050041, learning rate: 0.005
Epoch: 54/200, validation loss: 0.049748, learning rate: 0.005
Epoch: 55/200, validation loss: 0.049949, learning rate: 0.005
Epoch: 56/200, validation loss: 0.048969, learning rate: 0.005
Epoch: 57/200, validation loss: 0.049166, learning rate: 0.005
Epoch: 58/200, validation loss: 0.049143, learning rate: 0.005
Epoch: 59/200, validation loss: 0.049166, learning rate: 0.005
Epoch: 60/200, validation loss: 0.049274, learning rate: 0.005
Epoch: 61/200, validation loss: 0.048036, learning rate: 0.0025
Epoch: 62/200, validation loss: 0.048064, learning rate: 0.0025
Epoch: 63/200, validation loss: 0.047989, learning rate: 0.0025
Epoch: 64/200, validation loss: 0.048117, learning rate: 0.0025
Epoch: 65/200, validation loss: 0.047712, learning rate: 0.0025
Epoch: 66/200, validation loss: 0.047582, learning rate: 0.0025
Epoch: 67/200, validation loss: 0.047700, learning rate: 0.0025
Epoch: 68/200, validation loss: 0.047399, learning rate: 0.0025
Epoch: 69/200, validation loss: 0.047377, learning rate: 0.0025
Epoch: 70/200, validation loss: 0.047275, learning rate: 0.0025
Epoch: 71/200, validation loss: 0.047243, learning rate: 0.0025
Epoch: 72/200, validation loss: 0.046890, learning rate: 0.0025
Epoch: 73/200, validation loss: 0.047023, learning rate: 0.0025
Epoch: 74/200, validation loss: 0.047085, learning rate: 0.0025
Epoch: 75/200, validation loss: 0.046787, learning rate: 0.0025
Epoch: 76/200, validation loss: 0.046949, learning rate: 0.0025
Epoch: 77/200, validation loss: 0.046967, learning rate: 0.0025
Epoch: 78/200, validation loss: 0.046655, learning rate: 0.0025
Epoch: 79/200, validation loss: 0.046549, learning rate: 0.0025
Epoch: 80/200, validation loss: 0.046578, learning rate: 0.0025
Epoch: 81/200, validation loss: 0.046778, learning rate: 0.0025
Epoch: 82/200, validation loss: 0.046415, learning rate: 0.0025
Epoch: 83/200, validation loss: 0.046433, learning rate: 0.0025
Epoch: 84/200, validation loss: 0.046418, learning rate: 0.0025
Epoch: 85/200, validation loss: 0.046070, learning rate: 0.0025
Epoch: 86/200, validation loss: 0.046431, learning rate: 0.0025
Epoch: 87/200, validation loss: 0.046136, learning rate: 0.0025
Epoch: 88/200, validation loss: 0.045898, learning rate: 0.0025
Epoch: 89/200, validation loss: 0.045860, learning rate: 0.0025
Epoch: 90/200, validation loss: 0.046018, learning rate: 0.0025
Epoch: 91/200, validation loss: 0.045669, learning rate: 0.0025
Epoch: 92/200, validation loss: 0.045747, learning rate: 0.0025
Epoch: 93/200, validation loss: 0.045899, learning rate: 0.0025
Epoch: 94/200, validation loss: 0.045838, learning rate: 0.0025
Epoch: 95/200, validation loss: 0.045858, learning rate: 0.0025
Epoch: 96/200, validation loss: 0.045209, learning rate: 0.00125
Epoch: 97/200, validation loss: 0.045294, learning rate: 0.00125
Epoch: 98/200, validation loss: 0.045261, learning rate: 0.00125
Epoch: 99/200, validation loss: 0.045087, learning rate: 0.00125
Epoch: 100/200, validation loss: 0.045005, learning rate: 0.00125
Epoch: 101/200, validation loss: 0.045186, learning rate: 0.00125
Epoch: 102/200, validation loss: 0.044924, learning rate: 0.00125
Epoch: 103/200, validation loss: 0.044859, learning rate: 0.00125
Epoch: 104/200, validation loss: 0.044863, learning rate: 0.00125
Epoch: 105/200, validation loss: 0.044942, learning rate: 0.00125
Epoch: 106/200, validation loss: 0.044852, learning rate: 0.00125
Epoch: 107/200, validation loss: 0.044742, learning rate: 0.00125
Epoch: 108/200, validation loss: 0.044828, learning rate: 0.00125
Epoch: 109/200, validation loss: 0.044656, learning rate: 0.00125
Epoch: 110/200, validation loss: 0.044720, learning rate: 0.00125
Epoch: 111/200, validation loss: 0.044633, learning rate: 0.00125
Epoch: 112/200, validation loss: 0.044599, learning rate: 0.00125
Epoch: 113/200, validation loss: 0.044627, learning rate: 0.00125
Epoch: 114/200, validation loss: 0.044491, learning rate: 0.00125
Epoch: 115/200, validation loss: 0.044517, learning rate: 0.00125
Epoch: 116/200, validation loss: 0.044427, learning rate: 0.00125
Epoch: 117/200, validation loss: 0.044457, learning rate: 0.00125
Epoch: 118/200, validation loss: 0.044353, learning rate: 0.00125
Epoch: 119/200, validation loss: 0.044438, learning rate: 0.00125
Epoch: 120/200, validation loss: 0.044404, learning rate: 0.00125
Epoch: 121/200, validation loss: 0.044264, learning rate: 0.00125
Epoch: 122/200, validation loss: 0.044190, learning rate: 0.00125
Epoch: 123/200, validation loss: 0.044427, learning rate: 0.00125
Epoch: 124/200, validation loss: 0.044311, learning rate: 0.00125
Epoch: 125/200, validation loss: 0.044307, learning rate: 0.00125
Epoch: 126/200, validation loss: 0.044343, learning rate: 0.00125
Epoch: 127/200, validation loss: 0.043943, learning rate: 0.000625
Epoch: 128/200, validation loss: 0.043940, learning rate: 0.000625
Epoch: 129/200, validation loss: 0.043927, learning rate: 0.000625
Epoch: 130/200, validation loss: 0.043791, learning rate: 0.000625
Epoch: 131/200, validation loss: 0.043835, learning rate: 0.000625
Epoch: 132/200, validation loss: 0.043834, learning rate: 0.000625
Epoch: 133/200, validation loss: 0.043698, learning rate: 0.000625
Epoch: 134/200, validation loss: 0.043713, learning rate: 0.000625
Epoch: 135/200, validation loss: 0.043706, learning rate: 0.000625
Epoch: 136/200, validation loss: 0.043695, learning rate: 0.000625
Epoch: 137/200, validation loss: 0.043637, learning rate: 0.000625
Epoch: 138/200, validation loss: 0.043639, learning rate: 0.000625
Epoch: 139/200, validation loss: 0.043689, learning rate: 0.000625
Epoch: 140/200, validation loss: 0.043617, learning rate: 0.000625
Epoch: 141/200, validation loss: 0.043603, learning rate: 0.000625
Epoch: 142/200, validation loss: 0.043571, learning rate: 0.000625
Epoch: 143/200, validation loss: 0.043548, learning rate: 0.000625
Epoch: 144/200, validation loss: 0.043527, learning rate: 0.000625
