300 epochs, MSE loss

Epoch: 1/300, validation loss: 0.438134, learning rate: 0.005
Epoch: 2/300, validation loss: 0.431351, learning rate: 0.005
Epoch: 3/300, validation loss: 0.430863, learning rate: 0.005
Epoch: 4/300, validation loss: 0.429561, learning rate: 0.005
Epoch: 5/300, validation loss: 0.427205, learning rate: 0.005
Epoch: 6/300, validation loss: 0.427266, learning rate: 0.005
Epoch: 7/300, validation loss: 0.425714, learning rate: 0.005
Epoch: 8/300, validation loss: 0.425480, learning rate: 0.005
Epoch: 9/300, validation loss: 0.424026, learning rate: 0.005
Epoch: 10/300, validation loss: 0.423974, learning rate: 0.005
Epoch: 11/300, validation loss: 0.423789, learning rate: 0.005
Epoch: 12/300, validation loss: 0.423179, learning rate: 0.005
Epoch: 13/300, validation loss: 0.422585, learning rate: 0.005
Epoch: 14/300, validation loss: 0.422440, learning rate: 0.005
Epoch: 15/300, validation loss: 0.421914, learning rate: 0.005
Epoch: 16/300, validation loss: 0.420989, learning rate: 0.005
Epoch: 17/300, validation loss: 0.421658, learning rate: 0.005
Epoch: 18/300, validation loss: 0.420961, learning rate: 0.005
Epoch: 19/300, validation loss: 0.420622, learning rate: 0.005
Epoch: 20/300, validation loss: 0.420394, learning rate: 0.005
Epoch: 21/300, validation loss: 0.419691, learning rate: 0.005
Epoch: 22/300, validation loss: 0.420374, learning rate: 0.005
Epoch: 23/300, validation loss: 0.420154, learning rate: 0.005
Epoch: 24/300, validation loss: 0.419415, learning rate: 0.005
Epoch: 25/300, validation loss: 0.419136, learning rate: 0.005
Epoch: 26/300, validation loss: 0.419257, learning rate: 0.005
Epoch: 27/300, validation loss: 0.418961, learning rate: 0.005
Epoch: 28/300, validation loss: 0.418803, learning rate: 0.005
Epoch: 29/300, validation loss: 0.418653, learning rate: 0.005
Epoch: 30/300, validation loss: 0.418251, learning rate: 0.005
Epoch: 31/300, validation loss: 0.418085, learning rate: 0.005
Epoch: 32/300, validation loss: 0.418099, learning rate: 0.005
Epoch: 33/300, validation loss: 0.418032, learning rate: 0.005
Epoch: 34/300, validation loss: 0.417784, learning rate: 0.005
Epoch: 35/300, validation loss: 0.417866, learning rate: 0.005
Epoch: 36/300, validation loss: 0.417224, learning rate: 0.005
Epoch: 37/300, validation loss: 0.417258, learning rate: 0.005
Epoch: 38/300, validation loss: 0.417746, learning rate: 0.005
Epoch: 39/300, validation loss: 0.417195, learning rate: 0.005
Epoch: 40/300, validation loss: 0.417202, learning rate: 0.005
Epoch: 41/300, validation loss: 0.416310, learning rate: 0.0025
Epoch: 42/300, validation loss: 0.416227, learning rate: 0.0025
Epoch: 43/300, validation loss: 0.415999, learning rate: 0.0025
Epoch: 44/300, validation loss: 0.416048, learning rate: 0.0025
Epoch: 45/300, validation loss: 0.415761, learning rate: 0.0025
Epoch: 46/300, validation loss: 0.415793, learning rate: 0.0025
Epoch: 47/300, validation loss: 0.415729, learning rate: 0.0025
Epoch: 48/300, validation loss: 0.415505, learning rate: 0.0025
Epoch: 49/300, validation loss: 0.415437, learning rate: 0.0025
Epoch: 50/300, validation loss: 0.415195, learning rate: 0.0025
Epoch: 51/300, validation loss: 0.415283, learning rate: 0.0025
Epoch: 52/300, validation loss: 0.415082, learning rate: 0.0025
Epoch: 53/300, validation loss: 0.415025, learning rate: 0.0025
Epoch: 54/300, validation loss: 0.414962, learning rate: 0.0025
Epoch: 55/300, validation loss: 0.414846, learning rate: 0.0025
Epoch: 56/300, validation loss: 0.414841, learning rate: 0.0025
Epoch: 57/300, validation loss: 0.414956, learning rate: 0.0025
Epoch: 58/300, validation loss: 0.414625, learning rate: 0.0025
Epoch: 59/300, validation loss: 0.414761, learning rate: 0.0025
Epoch: 60/300, validation loss: 0.414543, learning rate: 0.0025
Epoch: 61/300, validation loss: 0.414663, learning rate: 0.0025
Epoch: 62/300, validation loss: 0.414479, learning rate: 0.0025
Epoch: 63/300, validation loss: 0.414367, learning rate: 0.0025
Epoch: 64/300, validation loss: 0.414306, learning rate: 0.0025
Epoch: 65/300, validation loss: 0.414299, learning rate: 0.0025
Epoch: 66/300, validation loss: 0.414139, learning rate: 0.0025
Epoch: 67/300, validation loss: 0.414204, learning rate: 0.0025
Epoch: 68/300, validation loss: 0.414197, learning rate: 0.0025
Epoch: 69/300, validation loss: 0.414151, learning rate: 0.0025
Epoch: 70/300, validation loss: 0.414083, learning rate: 0.0025
Epoch: 71/300, validation loss: 0.414032, learning rate: 0.0025
Epoch: 72/300, validation loss: 0.414193, learning rate: 0.0025
Epoch: 73/300, validation loss: 0.413904, learning rate: 0.0025
