300 epochs MSE loss

Epoch: 1/300, validation loss: 0.439461, learning rate: 0.005
Epoch: 2/300, validation loss: 0.438054, learning rate: 0.005
Epoch: 3/300, validation loss: 0.431694, learning rate: 0.005
Epoch: 4/300, validation loss: 0.429805, learning rate: 0.005
Epoch: 5/300, validation loss: 0.427626, learning rate: 0.005
Epoch: 6/300, validation loss: 0.425932, learning rate: 0.005
Epoch: 7/300, validation loss: 0.424873, learning rate: 0.005
Epoch: 8/300, validation loss: 0.424428, learning rate: 0.005
Epoch: 9/300, validation loss: 0.423236, learning rate: 0.005
Epoch: 10/300, validation loss: 0.422935, learning rate: 0.005
Epoch: 11/300, validation loss: 0.422712, learning rate: 0.005
Epoch: 12/300, validation loss: 0.422990, learning rate: 0.005
Epoch: 13/300, validation loss: 0.422172, learning rate: 0.005
Epoch: 14/300, validation loss: 0.421900, learning rate: 0.005
Epoch: 15/300, validation loss: 0.420800, learning rate: 0.005
Epoch: 16/300, validation loss: 0.420675, learning rate: 0.005
Epoch: 17/300, validation loss: 0.421678, learning rate: 0.005
Epoch: 18/300, validation loss: 0.420612, learning rate: 0.005
Epoch: 19/300, validation loss: 0.420883, learning rate: 0.005
Epoch: 20/300, validation loss: 0.420470, learning rate: 0.005
Epoch: 21/300, validation loss: 0.420488, learning rate: 0.005
Epoch: 22/300, validation loss: 0.420511, learning rate: 0.005
Epoch: 23/300, validation loss: 0.420390, learning rate: 0.005
Epoch: 24/300, validation loss: 0.419787, learning rate: 0.005
Epoch: 25/300, validation loss: 0.419443, learning rate: 0.005
Epoch: 26/300, validation loss: 0.419765, learning rate: 0.005
Epoch: 27/300, validation loss: 0.419464, learning rate: 0.005
Epoch: 28/300, validation loss: 0.419461, learning rate: 0.005
Epoch: 29/300, validation loss: 0.418995, learning rate: 0.005
Epoch: 30/300, validation loss: 0.419016, learning rate: 0.005
Epoch: 31/300, validation loss: 0.418857, learning rate: 0.005
Epoch: 32/300, validation loss: 0.418803, learning rate: 0.005
Epoch: 33/300, validation loss: 0.418462, learning rate: 0.005
Epoch: 34/300, validation loss: 0.418168, learning rate: 0.005
Epoch: 35/300, validation loss: 0.418787, learning rate: 0.005
Epoch: 36/300, validation loss: 0.418379, learning rate: 0.005
Epoch: 37/300, validation loss: 0.418177, learning rate: 0.005
Epoch: 38/300, validation loss: 0.417992, learning rate: 0.005
Epoch: 39/300, validation loss: 0.418418, learning rate: 0.005
Epoch: 40/300, validation loss: 0.418241, learning rate: 0.005
Epoch: 41/300, validation loss: 0.418439, learning rate: 0.005
Epoch: 42/300, validation loss: 0.417874, learning rate: 0.005
Epoch: 43/300, validation loss: 0.417845, learning rate: 0.005
Epoch: 44/300, validation loss: 0.417748, learning rate: 0.005
Epoch: 45/300, validation loss: 0.417680, learning rate: 0.005
Epoch: 46/300, validation loss: 0.417688, learning rate: 0.005
Epoch: 47/300, validation loss: 0.417502, learning rate: 0.005
Epoch: 48/300, validation loss: 0.417131, learning rate: 0.005
Epoch: 49/300, validation loss: 0.417435, learning rate: 0.005
Epoch: 50/300, validation loss: 0.416877, learning rate: 0.005
Epoch: 51/300, validation loss: 0.416997, learning rate: 0.005
Epoch: 52/300, validation loss: 0.416912, learning rate: 0.005
Epoch: 53/300, validation loss: 0.416803, learning rate: 0.005
Epoch: 54/300, validation loss: 0.416848, learning rate: 0.005
Epoch: 55/300, validation loss: 0.417478, learning rate: 0.005
Epoch: 56/300, validation loss: 0.417166, learning rate: 0.005
Epoch: 57/300, validation loss: 0.416621, learning rate: 0.005
Epoch: 58/300, validation loss: 0.416515, learning rate: 0.005
Epoch: 59/300, validation loss: 0.417024, learning rate: 0.005
Epoch: 60/300, validation loss: 0.416464, learning rate: 0.005
Epoch: 61/300, validation loss: 0.416213, learning rate: 0.005
Epoch: 62/300, validation loss: 0.416516, learning rate: 0.005
Epoch: 63/300, validation loss: 0.416587, learning rate: 0.005
Epoch: 64/300, validation loss: 0.416170, learning rate: 0.005
Epoch: 65/300, validation loss: 0.416291, learning rate: 0.005
Epoch: 66/300, validation loss: 0.416471, learning rate: 0.005
Epoch: 67/300, validation loss: 0.416176, learning rate: 0.005
Epoch: 68/300, validation loss: 0.416015, learning rate: 0.005
Epoch: 69/300, validation loss: 0.416163, learning rate: 0.005
Epoch: 70/300, validation loss: 0.416106, learning rate: 0.005
Epoch: 71/300, validation loss: 0.415863, learning rate: 0.005
Epoch: 72/300, validation loss: 0.415698, learning rate: 0.005
Epoch: 73/300, validation loss: 0.415998, learning rate: 0.005
Epoch: 74/300, validation loss: 0.415971, learning rate: 0.005
Epoch: 75/300, validation loss: 0.415509, learning rate: 0.005
Epoch: 76/300, validation loss: 0.415743, learning rate: 0.005
Epoch: 77/300, validation loss: 0.415423, learning rate: 0.005
Epoch: 78/300, validation loss: 0.415563, learning rate: 0.005
Epoch: 79/300, validation loss: 0.415314, learning rate: 0.005
Epoch: 80/300, validation loss: 0.415973, learning rate: 0.005
Epoch: 81/300, validation loss: 0.415447, learning rate: 0.005
Epoch: 82/300, validation loss: 0.415351, learning rate: 0.005
Epoch: 83/300, validation loss: 0.415337, learning rate: 0.005
Epoch: 84/300, validation loss: 0.414445, learning rate: 0.0025
Epoch: 85/300, validation loss: 0.414268, learning rate: 0.0025
Epoch: 86/300, validation loss: 0.414352, learning rate: 0.0025
Epoch: 87/300, validation loss: 0.414303, learning rate: 0.0025
Epoch: 88/300, validation loss: 0.414098, learning rate: 0.0025
Epoch: 89/300, validation loss: 0.414147, learning rate: 0.0025
Epoch: 90/300, validation loss: 0.414018, learning rate: 0.0025
Epoch: 91/300, validation loss: 0.414231, learning rate: 0.0025
Epoch: 92/300, validation loss: 0.413992, learning rate: 0.0025
Epoch: 93/300, validation loss: 0.413943, learning rate: 0.0025
Epoch: 94/300, validation loss: 0.413678, learning rate: 0.0025
Epoch: 95/300, validation loss: 0.413886, learning rate: 0.0025
Epoch: 96/300, validation loss: 0.413823, learning rate: 0.0025
Epoch: 97/300, validation loss: 0.413640, learning rate: 0.0025
Epoch: 98/300, validation loss: 0.413645, learning rate: 0.0025
Epoch: 99/300, validation loss: 0.413191, learning rate: 0.00125
Epoch: 100/300, validation loss: 0.413130, learning rate: 0.00125
Epoch: 101/300, validation loss: 0.413146, learning rate: 0.00125
Epoch: 102/300, validation loss: 0.413028, learning rate: 0.00125
Epoch: 103/300, validation loss: 0.413036, learning rate: 0.00125
Epoch: 104/300, validation loss: 0.412995, learning rate: 0.00125
Epoch: 105/300, validation loss: 0.412968, learning rate: 0.00125
Epoch: 106/300, validation loss: 0.412950, learning rate: 0.00125
Epoch: 107/300, validation loss: 0.412828, learning rate: 0.00125
Epoch: 108/300, validation loss: 0.412779, learning rate: 0.00125
Epoch: 109/300, validation loss: 0.412833, learning rate: 0.00125
Epoch: 110/300, validation loss: 0.412878, learning rate: 0.00125
Epoch: 111/300, validation loss: 0.412762, learning rate: 0.00125
Epoch: 112/300, validation loss: 0.412721, learning rate: 0.00125
Epoch: 113/300, validation loss: 0.412795, learning rate: 0.00125
