Non-causal

Epoch: 1/200, validation loss: 1.162104, learning rate: 0.005
Epoch: 2/200, validation loss: 1.136347, learning rate: 0.005
Epoch: 3/200, validation loss: 1.033229, learning rate: 0.005
Epoch: 4/200, validation loss: 0.986620, learning rate: 0.005
Epoch: 5/200, validation loss: 0.940348, learning rate: 0.005
Epoch: 6/200, validation loss: 0.911255, learning rate: 0.005
Epoch: 7/200, validation loss: 0.886827, learning rate: 0.005
Epoch: 8/200, validation loss: 0.868988, learning rate: 0.005
Epoch: 9/200, validation loss: 0.848917, learning rate: 0.005
Epoch: 10/200, validation loss: 0.830671, learning rate: 0.005
Epoch: 11/200, validation loss: 0.813663, learning rate: 0.005
Epoch: 12/200, validation loss: 0.793925, learning rate: 0.005
Epoch: 13/200, validation loss: 0.780130, learning rate: 0.005
Epoch: 14/200, validation loss: 0.762802, learning rate: 0.005
Epoch: 15/200, validation loss: 0.752011, learning rate: 0.005
Epoch: 16/200, validation loss: 0.744671, learning rate: 0.005
Epoch: 17/200, validation loss: 0.731102, learning rate: 0.005
Epoch: 18/200, validation loss: 0.721449, learning rate: 0.005
Epoch: 19/200, validation loss: 0.714245, learning rate: 0.005
Epoch: 20/200, validation loss: 0.706680, learning rate: 0.005
Epoch: 21/200, validation loss: 0.695568, learning rate: 0.005
Epoch: 22/200, validation loss: 0.691848, learning rate: 0.005
Epoch: 23/200, validation loss: 0.686068, learning rate: 0.005
Epoch: 24/200, validation loss: 0.678062, learning rate: 0.005
Epoch: 25/200, validation loss: 0.671402, learning rate: 0.005
Epoch: 26/200, validation loss: 0.666830, learning rate: 0.005
Epoch: 27/200, validation loss: 0.659526, learning rate: 0.005
Epoch: 28/200, validation loss: 0.652995, learning rate: 0.005
Epoch: 29/200, validation loss: 0.648373, learning rate: 0.005
Epoch: 30/200, validation loss: 0.643824, learning rate: 0.005
Epoch: 31/200, validation loss: 0.638330, learning rate: 0.005
Epoch: 32/200, validation loss: 0.623667, learning rate: 0.005
Epoch: 33/200, validation loss: 0.616018, learning rate: 0.005
Epoch: 34/200, validation loss: 0.606233, learning rate: 0.005
Epoch: 35/200, validation loss: 0.600630, learning rate: 0.005
Epoch: 36/200, validation loss: 0.588496, learning rate: 0.005
Epoch: 37/200, validation loss: 0.586775, learning rate: 0.005
Epoch: 38/200, validation loss: 0.577338, learning rate: 0.005
Epoch: 39/200, validation loss: 0.569087, learning rate: 0.005
Epoch: 40/200, validation loss: 0.573307, learning rate: 0.005
Epoch: 41/200, validation loss: 0.561169, learning rate: 0.005
Epoch: 42/200, validation loss: 0.556548, learning rate: 0.005
Epoch: 43/200, validation loss: 0.558718, learning rate: 0.005
Epoch: 44/200, validation loss: 0.550970, learning rate: 0.005
Epoch: 45/200, validation loss: 0.545276, learning rate: 0.005
Epoch: 46/200, validation loss: 0.548727, learning rate: 0.005
Epoch: 47/200, validation loss: 0.536871, learning rate: 0.005
Epoch: 48/200, validation loss: 0.533220, learning rate: 0.005
Epoch: 49/200, validation loss: 0.530501, learning rate: 0.005
Epoch: 50/200, validation loss: 0.527096, learning rate: 0.005
Epoch: 51/200, validation loss: 0.522056, learning rate: 0.005
Epoch: 52/200, validation loss: 0.518845, learning rate: 0.005
Epoch: 53/200, validation loss: 0.513142, learning rate: 0.005
Epoch: 54/200, validation loss: 0.514906, learning rate: 0.005
Epoch: 55/200, validation loss: 0.510853, learning rate: 0.005
Epoch: 56/200, validation loss: 0.506133, learning rate: 0.005
Epoch: 57/200, validation loss: 0.504295, learning rate: 0.005
Epoch: 58/200, validation loss: 0.504326, learning rate: 0.005
Epoch: 59/200, validation loss: 0.498269, learning rate: 0.005
Epoch: 60/200, validation loss: 0.496834, learning rate: 0.005
Epoch: 61/200, validation loss: 0.498636, learning rate: 0.005
Epoch: 62/200, validation loss: 0.490581, learning rate: 0.005
Epoch: 63/200, validation loss: 0.488493, learning rate: 0.005
Epoch: 64/200, validation loss: 0.485345, learning rate: 0.005
Epoch: 65/200, validation loss: 0.491694, learning rate: 0.005
Epoch: 66/200, validation loss: 0.481462, learning rate: 0.005
Epoch: 67/200, validation loss: 0.479465, learning rate: 0.005
Epoch: 68/200, validation loss: 0.478866, learning rate: 0.005
Epoch: 69/200, validation loss: 0.479222, learning rate: 0.005
Epoch: 70/200, validation loss: 0.474589, learning rate: 0.005
Epoch: 71/200, validation loss: 0.473539, learning rate: 0.005
Epoch: 72/200, validation loss: 0.470115, learning rate: 0.005
Epoch: 73/200, validation loss: 0.469904, learning rate: 0.005
Epoch: 74/200, validation loss: 0.474550, learning rate: 0.005
Epoch: 75/200, validation loss: 0.466328, learning rate: 0.005
Epoch: 76/200, validation loss: 0.463018, learning rate: 0.005
Epoch: 77/200, validation loss: 0.462890, learning rate: 0.005
Epoch: 78/200, validation loss: 0.460389, learning rate: 0.005
Epoch: 79/200, validation loss: 0.458370, learning rate: 0.005
Epoch: 80/200, validation loss: 0.461000, learning rate: 0.005
Epoch: 81/200, validation loss: 0.454306, learning rate: 0.005
Epoch: 82/200, validation loss: 0.454913, learning rate: 0.005
Epoch: 83/200, validation loss: 0.451301, learning rate: 0.005
Epoch: 84/200, validation loss: 0.450466, learning rate: 0.005
Epoch: 85/200, validation loss: 0.451910, learning rate: 0.005
