Epoch: 1/300, validation loss: 0.094712, learning rate: 0.005
Epoch: 2/300, validation loss: 0.081522, learning rate: 0.005
Epoch: 3/300, validation loss: 0.077977, learning rate: 0.005
Epoch: 4/300, validation loss: 0.074430, learning rate: 0.005
Epoch: 5/300, validation loss: 0.073792, learning rate: 0.005
Epoch: 6/300, validation loss: 0.072484, learning rate: 0.005
Epoch: 7/300, validation loss: 0.071411, learning rate: 0.005
Epoch: 8/300, validation loss: 0.070316, learning rate: 0.005
Epoch: 9/300, validation loss: 0.069151, learning rate: 0.005
Epoch: 10/300, validation loss: 0.068451, learning rate: 0.005
Epoch: 11/300, validation loss: 0.068366, learning rate: 0.005
Epoch: 12/300, validation loss: 0.067417, learning rate: 0.005
Epoch: 13/300, validation loss: 0.065676, learning rate: 0.005
Epoch: 14/300, validation loss: 0.065560, learning rate: 0.005
Epoch: 15/300, validation loss: 0.066073, learning rate: 0.005
Epoch: 16/300, validation loss: 0.064390, learning rate: 0.005
Epoch: 17/300, validation loss: 0.064973, learning rate: 0.005
Epoch: 18/300, validation loss: 0.063397, learning rate: 0.005
Epoch: 19/300, validation loss: 0.062762, learning rate: 0.005
Epoch: 20/300, validation loss: 0.062885, learning rate: 0.005
Epoch: 21/300, validation loss: 0.063864, learning rate: 0.005
Epoch: 22/300, validation loss: 0.061746, learning rate: 0.005
Epoch: 23/300, validation loss: 0.060948, learning rate: 0.005
Epoch: 24/300, validation loss: 0.061224, learning rate: 0.005
Epoch: 25/300, validation loss: 0.061082, learning rate: 0.005
Epoch: 26/300, validation loss: 0.060824, learning rate: 0.005
Epoch: 27/300, validation loss: 0.060018, learning rate: 0.005
Epoch: 28/300, validation loss: 0.060335, learning rate: 0.005
Epoch: 29/300, validation loss: 0.060166, learning rate: 0.005
Epoch: 30/300, validation loss: 0.059955, learning rate: 0.005
Epoch: 31/300, validation loss: 0.059280, learning rate: 0.005
Epoch: 32/300, validation loss: 0.059856, learning rate: 0.005
Epoch: 33/300, validation loss: 0.058894, learning rate: 0.005
Epoch: 34/300, validation loss: 0.059089, learning rate: 0.005
Epoch: 35/300, validation loss: 0.058117, learning rate: 0.005
Epoch: 36/300, validation loss: 0.057955, learning rate: 0.005
Epoch: 37/300, validation loss: 0.058388, learning rate: 0.005
Epoch: 38/300, validation loss: 0.058176, learning rate: 0.005
Epoch: 39/300, validation loss: 0.057456, learning rate: 0.005
Epoch: 40/300, validation loss: 0.058040, learning rate: 0.005
Epoch: 41/300, validation loss: 0.057260, learning rate: 0.005
Epoch: 42/300, validation loss: 0.056929, learning rate: 0.005
Epoch: 43/300, validation loss: 0.057743, learning rate: 0.005
Epoch: 44/300, validation loss: 0.057672, learning rate: 0.005
Epoch: 45/300, validation loss: 0.056476, learning rate: 0.005
Epoch: 46/300, validation loss: 0.057330, learning rate: 0.005
Epoch: 47/300, validation loss: 0.056935, learning rate: 0.005
Epoch: 48/300, validation loss: 0.055995, learning rate: 0.005
Epoch: 49/300, validation loss: 0.056859, learning rate: 0.005
Epoch: 50/300, validation loss: 0.055885, learning rate: 0.005
Epoch: 51/300, validation loss: 0.056198, learning rate: 0.005
