300 epochs MSE loss

Epoch: 1/200, validation loss: 0.095822, learning rate: 0.004
Epoch: 2/200, validation loss: 0.086136, learning rate: 0.004
Epoch: 3/200, validation loss: 0.079870, learning rate: 0.004
Epoch: 4/200, validation loss: 0.076524, learning rate: 0.004
Epoch: 5/200, validation loss: 0.074419, learning rate: 0.004
Epoch: 6/200, validation loss: 0.073450, learning rate: 0.004
Epoch: 7/200, validation loss: 0.071528, learning rate: 0.004
Epoch: 8/200, validation loss: 0.069905, learning rate: 0.004
Epoch: 9/200, validation loss: 0.070802, learning rate: 0.004
Epoch: 10/200, validation loss: 0.068249, learning rate: 0.004
Epoch: 11/200, validation loss: 0.067722, learning rate: 0.004
Epoch: 12/200, validation loss: 0.066989, learning rate: 0.004
Epoch: 13/200, validation loss: 0.065731, learning rate: 0.004
Epoch: 14/200, validation loss: 0.066269, learning rate: 0.004
Epoch: 15/200, validation loss: 0.065040, learning rate: 0.004
Epoch: 16/200, validation loss: 0.064570, learning rate: 0.004
Epoch: 17/200, validation loss: 0.064109, learning rate: 0.004
Epoch: 18/200, validation loss: 0.063656, learning rate: 0.004
Epoch: 19/200, validation loss: 0.063459, learning rate: 0.004
Epoch: 20/200, validation loss: 0.062786, learning rate: 0.004
Epoch: 21/200, validation loss: 0.061774, learning rate: 0.004
Epoch: 22/200, validation loss: 0.061505, learning rate: 0.004
Epoch: 23/200, validation loss: 0.060857, learning rate: 0.004
Epoch: 24/200, validation loss: 0.061052, learning rate: 0.004
Epoch: 25/200, validation loss: 0.060080, learning rate: 0.004
Epoch: 26/200, validation loss: 0.060417, learning rate: 0.004
Epoch: 27/200, validation loss: 0.060021, learning rate: 0.004
Epoch: 28/200, validation loss: 0.059393, learning rate: 0.004
Epoch: 29/200, validation loss: 0.059303, learning rate: 0.004
Epoch: 30/200, validation loss: 0.059009, learning rate: 0.004
Epoch: 31/200, validation loss: 0.058797, learning rate: 0.004
Epoch: 32/200, validation loss: 0.058279, learning rate: 0.004
Epoch: 33/200, validation loss: 0.058240, learning rate: 0.004
Epoch: 34/200, validation loss: 0.057993, learning rate: 0.004
Epoch: 35/200, validation loss: 0.058378, learning rate: 0.004
Epoch: 36/200, validation loss: 0.057610, learning rate: 0.004
Epoch: 37/200, validation loss: 0.057083, learning rate: 0.004
Epoch: 38/200, validation loss: 0.056755, learning rate: 0.004
Epoch: 39/200, validation loss: 0.056793, learning rate: 0.004
Epoch: 40/200, validation loss: 0.056364, learning rate: 0.004
Epoch: 41/200, validation loss: 0.056594, learning rate: 0.004
Epoch: 42/200, validation loss: 0.055862, learning rate: 0.004
Epoch: 43/200, validation loss: 0.056059, learning rate: 0.004
Epoch: 44/200, validation loss: 0.055616, learning rate: 0.004
Epoch: 45/200, validation loss: 0.055554, learning rate: 0.004
Epoch: 46/200, validation loss: 0.055258, learning rate: 0.004
Epoch: 47/200, validation loss: 0.054822, learning rate: 0.004
Epoch: 48/200, validation loss: 0.055272, learning rate: 0.004
Epoch: 49/200, validation loss: 0.055594, learning rate: 0.004
Epoch: 50/200, validation loss: 0.054841, learning rate: 0.004
Epoch: 51/200, validation loss: 0.054403, learning rate: 0.004
Epoch: 52/200, validation loss: 0.054524, learning rate: 0.004
Epoch: 53/200, validation loss: 0.054044, learning rate: 0.004
Epoch: 54/200, validation loss: 0.054082, learning rate: 0.004
Epoch: 55/200, validation loss: 0.053697, learning rate: 0.004
Epoch: 56/200, validation loss: 0.053999, learning rate: 0.004
Epoch: 57/200, validation loss: 0.053685, learning rate: 0.004
Epoch: 58/200, validation loss: 0.054174, learning rate: 0.004
Epoch: 59/200, validation loss: 0.053462, learning rate: 0.004
Epoch: 60/200, validation loss: 0.053124, learning rate: 0.004
Epoch: 61/200, validation loss: 0.053082, learning rate: 0.004
Epoch: 62/200, validation loss: 0.052831, learning rate: 0.004
Epoch: 63/200, validation loss: 0.053097, learning rate: 0.004
Epoch: 64/200, validation loss: 0.052707, learning rate: 0.004
Epoch: 65/200, validation loss: 0.052465, learning rate: 0.004
Epoch: 66/200, validation loss: 0.052674, learning rate: 0.004
Epoch: 67/200, validation loss: 0.052289, learning rate: 0.004
Epoch: 68/200, validation loss: 0.052270, learning rate: 0.004
Epoch: 69/200, validation loss: 0.052116, learning rate: 0.004
Epoch: 70/200, validation loss: 0.052258, learning rate: 0.004
Epoch: 71/200, validation loss: 0.052219, learning rate: 0.004
Epoch: 72/200, validation loss: 0.052980, learning rate: 0.004
Epoch: 73/200, validation loss: 0.052398, learning rate: 0.004
Epoch: 74/200, validation loss: 0.050809, learning rate: 0.0008
Epoch: 75/200, validation loss: 0.050525, learning rate: 0.0008
Epoch: 76/200, validation loss: 0.050475, learning rate: 0.0008
Epoch: 77/200, validation loss: 0.050470, learning rate: 0.0008
Epoch: 78/200, validation loss: 0.050486, learning rate: 0.0008
Epoch: 79/200, validation loss: 0.050369, learning rate: 0.0008
Epoch: 80/200, validation loss: 0.050387, learning rate: 0.0008
Epoch: 81/200, validation loss: 0.050292, learning rate: 0.0008
Epoch: 82/200, validation loss: 0.050214, learning rate: 0.0008
Epoch: 83/200, validation loss: 0.050248, learning rate: 0.0008
Epoch: 84/200, validation loss: 0.050118, learning rate: 0.0008
Epoch: 85/200, validation loss: 0.050227, learning rate: 0.0008
Epoch: 86/200, validation loss: 0.050051, learning rate: 0.0008
Epoch: 87/200, validation loss: 0.049972, learning rate: 0.0008
Epoch: 88/200, validation loss: 0.050020, learning rate: 0.0008
Epoch: 89/200, validation loss: 0.050014, learning rate: 0.0008
Epoch: 90/200, validation loss: 0.049787, learning rate: 0.0008
Epoch: 91/200, validation loss: 0.049771, learning rate: 0.0008
Epoch: 92/200, validation loss: 0.049905, learning rate: 0.0008
Epoch: 93/200, validation loss: 0.049757, learning rate: 0.0008
Epoch: 94/200, validation loss: 0.049884, learning rate: 0.0008
Epoch: 95/200, validation loss: 0.049790, learning rate: 0.0008
Epoch: 96/200, validation loss: 0.049693, learning rate: 0.0008
Epoch: 97/200, validation loss: 0.049775, learning rate: 0.0008
Epoch: 98/200, validation loss: 0.049716, learning rate: 0.0008
Epoch: 99/200, validation loss: 0.049595, learning rate: 0.0008
Epoch: 100/200, validation loss: 0.049581, learning rate: 0.0008
Epoch: 101/200, validation loss: 0.049565, learning rate: 0.0008
Epoch: 102/200, validation loss: 0.049448, learning rate: 0.0008
Epoch: 103/200, validation loss: 0.049463, learning rate: 0.0008
Epoch: 104/200, validation loss: 0.049449, learning rate: 0.0008
Epoch: 105/200, validation loss: 0.049520, learning rate: 0.0008
Epoch: 106/200, validation loss: 0.049382, learning rate: 0.0008
Epoch: 107/200, validation loss: 0.049396, learning rate: 0.0008
Epoch: 108/200, validation loss: 0.049412, learning rate: 0.0008
Epoch: 109/200, validation loss: 0.049402, learning rate: 0.0008
Epoch: 110/200, validation loss: 0.049330, learning rate: 0.0008
Epoch: 111/200, validation loss: 0.049310, learning rate: 0.0008
Epoch: 112/200, validation loss: 0.049245, learning rate: 0.0008
Epoch: 113/200, validation loss: 0.049231, learning rate: 0.0008
Epoch: 114/200, validation loss: 0.049207, learning rate: 0.0008
Epoch: 115/200, validation loss: 0.049133, learning rate: 0.0008
Epoch: 116/200, validation loss: 0.049173, learning rate: 0.0008
