300 epochs MSE loss

Epoch: 1/300, validation loss: 0.098960, learning rate: 0.004
Epoch: 2/300, validation loss: 0.082502, learning rate: 0.004
Epoch: 3/300, validation loss: 0.078129, learning rate: 0.004
Epoch: 4/300, validation loss: 0.076514, learning rate: 0.004
Epoch: 5/300, validation loss: 0.073844, learning rate: 0.004
Epoch: 6/300, validation loss: 0.073854, learning rate: 0.004
Epoch: 7/300, validation loss: 0.072552, learning rate: 0.004
Epoch: 8/300, validation loss: 0.071020, learning rate: 0.004
Epoch: 9/300, validation loss: 0.070618, learning rate: 0.004
Epoch: 10/300, validation loss: 0.069352, learning rate: 0.004
Epoch: 11/300, validation loss: 0.068850, learning rate: 0.004
Epoch: 12/300, validation loss: 0.068264, learning rate: 0.004
Epoch: 13/300, validation loss: 0.067702, learning rate: 0.004
Epoch: 14/300, validation loss: 0.067503, learning rate: 0.004
Epoch: 15/300, validation loss: 0.066600, learning rate: 0.004
Epoch: 16/300, validation loss: 0.067232, learning rate: 0.004
Epoch: 17/300, validation loss: 0.066076, learning rate: 0.004
Epoch: 18/300, validation loss: 0.064921, learning rate: 0.004
Epoch: 19/300, validation loss: 0.064912, learning rate: 0.004
Epoch: 20/300, validation loss: 0.064521, learning rate: 0.004
Epoch: 21/300, validation loss: 0.063403, learning rate: 0.004
Epoch: 22/300, validation loss: 0.063901, learning rate: 0.004
Epoch: 23/300, validation loss: 0.063296, learning rate: 0.004
Epoch: 24/300, validation loss: 0.062555, learning rate: 0.004
Epoch: 25/300, validation loss: 0.061760, learning rate: 0.004
Epoch: 26/300, validation loss: 0.062305, learning rate: 0.004
Epoch: 27/300, validation loss: 0.061521, learning rate: 0.004
Epoch: 28/300, validation loss: 0.061768, learning rate: 0.004
Epoch: 29/300, validation loss: 0.060915, learning rate: 0.004
Epoch: 30/300, validation loss: 0.060671, learning rate: 0.004
Epoch: 31/300, validation loss: 0.060835, learning rate: 0.004
Epoch: 32/300, validation loss: 0.060236, learning rate: 0.004
Epoch: 33/300, validation loss: 0.060170, learning rate: 0.004
Epoch: 34/300, validation loss: 0.059323, learning rate: 0.004
Epoch: 35/300, validation loss: 0.059779, learning rate: 0.004
Epoch: 36/300, validation loss: 0.059157, learning rate: 0.004
Epoch: 37/300, validation loss: 0.059184, learning rate: 0.004
Epoch: 38/300, validation loss: 0.059469, learning rate: 0.004
Epoch: 39/300, validation loss: 0.058213, learning rate: 0.004
Epoch: 40/300, validation loss: 0.058978, learning rate: 0.004
Epoch: 41/300, validation loss: 0.058386, learning rate: 0.004
Epoch: 42/300, validation loss: 0.059142, learning rate: 0.004
Epoch: 43/300, validation loss: 0.057814, learning rate: 0.004
Epoch: 44/300, validation loss: 0.057607, learning rate: 0.004
Epoch: 45/300, validation loss: 0.057493, learning rate: 0.004
Epoch: 46/300, validation loss: 0.057738, learning rate: 0.004
Epoch: 47/300, validation loss: 0.057343, learning rate: 0.004
Epoch: 48/300, validation loss: 0.057302, learning rate: 0.004
Epoch: 49/300, validation loss: 0.057478, learning rate: 0.004
Epoch: 50/300, validation loss: 0.057157, learning rate: 0.004
Epoch: 51/300, validation loss: 0.056958, learning rate: 0.004
Epoch: 52/300, validation loss: 0.057053, learning rate: 0.004
Epoch: 53/300, validation loss: 0.056738, learning rate: 0.004
Epoch: 54/300, validation loss: 0.056825, learning rate: 0.004
Epoch: 55/300, validation loss: 0.056726, learning rate: 0.004
Epoch: 56/300, validation loss: 0.056329, learning rate: 0.004
Epoch: 57/300, validation loss: 0.056510, learning rate: 0.004
Epoch: 58/300, validation loss: 0.056928, learning rate: 0.004
Epoch: 59/300, validation loss: 0.056603, learning rate: 0.004
Epoch: 60/300, validation loss: 0.056109, learning rate: 0.004
Epoch: 61/300, validation loss: 0.056556, learning rate: 0.004
Epoch: 62/300, validation loss: 0.056038, learning rate: 0.004
Epoch: 63/300, validation loss: 0.056059, learning rate: 0.004
Epoch: 64/300, validation loss: 0.055978, learning rate: 0.004
Epoch: 65/300, validation loss: 0.056284, learning rate: 0.004
Epoch: 66/300, validation loss: 0.055625, learning rate: 0.004
Epoch: 67/300, validation loss: 0.055434, learning rate: 0.004
Epoch: 68/300, validation loss: 0.055976, learning rate: 0.004
Epoch: 69/300, validation loss: 0.055712, learning rate: 0.004
Epoch: 70/300, validation loss: 0.055111, learning rate: 0.004
Epoch: 71/300, validation loss: 0.055538, learning rate: 0.004
Epoch: 72/300, validation loss: 0.054972, learning rate: 0.004
Epoch: 73/300, validation loss: 0.055410, learning rate: 0.004
Epoch: 74/300, validation loss: 0.054641, learning rate: 0.004
Epoch: 75/300, validation loss: 0.054572, learning rate: 0.004
Epoch: 76/300, validation loss: 0.055009, learning rate: 0.004
Epoch: 77/300, validation loss: 0.054144, learning rate: 0.004
Epoch: 78/300, validation loss: 0.054695, learning rate: 0.004
Epoch: 79/300, validation loss: 0.053690, learning rate: 0.004
Epoch: 80/300, validation loss: 0.054427, learning rate: 0.004
Epoch: 81/300, validation loss: 0.053880, learning rate: 0.004
Epoch: 82/300, validation loss: 0.054294, learning rate: 0.004
Epoch: 83/300, validation loss: 0.053673, learning rate: 0.004
Epoch: 84/300, validation loss: 0.054258, learning rate: 0.004
Epoch: 85/300, validation loss: 0.053694, learning rate: 0.004
Epoch: 86/300, validation loss: 0.053653, learning rate: 0.004
Epoch: 87/300, validation loss: 0.053382, learning rate: 0.004
Epoch: 88/300, validation loss: 0.053516, learning rate: 0.004
Epoch: 89/300, validation loss: 0.053436, learning rate: 0.004
Epoch: 90/300, validation loss: 0.052894, learning rate: 0.004
Epoch: 91/300, validation loss: 0.052748, learning rate: 0.004
Epoch: 92/300, validation loss: 0.053794, learning rate: 0.004
Epoch: 93/300, validation loss: 0.052483, learning rate: 0.004
Epoch: 94/300, validation loss: 0.052584, learning rate: 0.004
Epoch: 95/300, validation loss: 0.052855, learning rate: 0.004
Epoch: 96/300, validation loss: 0.052765, learning rate: 0.004
Epoch: 97/300, validation loss: 0.052602, learning rate: 0.004
Epoch: 98/300, validation loss: 0.051460, learning rate: 0.0008
Epoch: 99/300, validation loss: 0.051390, learning rate: 0.0008
Epoch: 100/300, validation loss: 0.051325, learning rate: 0.0008
Epoch: 101/300, validation loss: 0.051385, learning rate: 0.0008
Epoch: 102/300, validation loss: 0.051324, learning rate: 0.0008
Epoch: 103/300, validation loss: 0.051186, learning rate: 0.0008
Epoch: 104/300, validation loss: 0.051141, learning rate: 0.0008
Epoch: 105/300, validation loss: 0.051146, learning rate: 0.0008
Epoch: 106/300, validation loss: 0.051090, learning rate: 0.0008
Epoch: 107/300, validation loss: 0.051024, learning rate: 0.0008
Epoch: 108/300, validation loss: 0.051049, learning rate: 0.0008
Epoch: 109/300, validation loss: 0.050958, learning rate: 0.0008
Epoch: 110/300, validation loss: 0.051094, learning rate: 0.0008
Epoch: 111/300, validation loss: 0.050975, learning rate: 0.0008
Epoch: 112/300, validation loss: 0.050871, learning rate: 0.0008
Epoch: 113/300, validation loss: 0.050867, learning rate: 0.0008
Epoch: 114/300, validation loss: 0.050730, learning rate: 0.0008
Epoch: 115/300, validation loss: 0.050855, learning rate: 0.0008
Epoch: 116/300, validation loss: 0.050878, learning rate: 0.0008
Epoch: 117/300, validation loss: 0.050787, learning rate: 0.0008
Epoch: 118/300, validation loss: 0.050677, learning rate: 0.0008
Epoch: 119/300, validation loss: 0.050634, learning rate: 0.0008
Epoch: 120/300, validation loss: 0.050650, learning rate: 0.0008
Epoch: 121/300, validation loss: 0.050671, learning rate: 0.0008
Epoch: 122/300, validation loss: 0.050632, learning rate: 0.0008
Epoch: 123/300, validation loss: 0.050627, learning rate: 0.0008
Epoch: 124/300, validation loss: 0.050586, learning rate: 0.0008
Epoch: 125/300, validation loss: 0.050456, learning rate: 0.0008
Epoch: 126/300, validation loss: 0.050544, learning rate: 0.0008
Epoch: 127/300, validation loss: 0.050467, learning rate: 0.0008
Epoch: 128/300, validation loss: 0.050431, learning rate: 0.0008
Epoch: 129/300, validation loss: 0.050424, learning rate: 0.0008
Epoch: 130/300, validation loss: 0.050348, learning rate: 0.0008
Epoch: 131/300, validation loss: 0.050362, learning rate: 0.0008
Epoch: 132/300, validation loss: 0.050319, learning rate: 0.0008
Epoch: 133/300, validation loss: 0.050340, learning rate: 0.0008
Epoch: 134/300, validation loss: 0.050334, learning rate: 0.0008
Epoch: 135/300, validation loss: 0.050287, learning rate: 0.0008
Epoch: 136/300, validation loss: 0.050269, learning rate: 0.0008
Epoch: 137/300, validation loss: 0.050318, learning rate: 0.0008
Epoch: 138/300, validation loss: 0.050293, learning rate: 0.0008
Epoch: 139/300, validation loss: 0.050101, learning rate: 0.0008
Epoch: 140/300, validation loss: 0.050121, learning rate: 0.0008
Epoch: 141/300, validation loss: 0.050238, learning rate: 0.0008
Epoch: 142/300, validation loss: 0.050127, learning rate: 0.0008
Epoch: 143/300, validation loss: 0.050061, learning rate: 0.0008
Epoch: 144/300, validation loss: 0.050237, learning rate: 0.0008
Epoch: 145/300, validation loss: 0.050079, learning rate: 0.0008
Epoch: 146/300, validation loss: 0.050052, learning rate: 0.0008
Epoch: 147/300, validation loss: 0.050135, learning rate: 0.0008
Epoch: 148/300, validation loss: 0.049958, learning rate: 0.0008
Epoch: 149/300, validation loss: 0.049980, learning rate: 0.0008
Epoch: 150/300, validation loss: 0.049948, learning rate: 0.0008
Epoch: 151/300, validation loss: 0.049982, learning rate: 0.0008
Epoch: 152/300, validation loss: 0.049877, learning rate: 0.0008
Epoch: 153/300, validation loss: 0.049898, learning rate: 0.0008
Epoch: 154/300, validation loss: 0.049828, learning rate: 0.0008
Epoch: 155/300, validation loss: 0.049944, learning rate: 0.0008
Epoch: 156/300, validation loss: 0.049868, learning rate: 0.0008
Epoch: 157/300, validation loss: 0.049846, learning rate: 0.0008
Epoch: 158/300, validation loss: 0.049753, learning rate: 0.0008
Epoch: 159/300, validation loss: 0.049891, learning rate: 0.0008
Epoch: 160/300, validation loss: 0.049813, learning rate: 0.0008
Epoch: 161/300, validation loss: 0.049784, learning rate: 0.0008
Epoch: 162/300, validation loss: 0.049800, learning rate: 0.0008
Epoch: 163/300, validation loss: 0.049519, learning rate: 0.00016
Epoch: 164/300, validation loss: 0.049522, learning rate: 0.00016
Epoch: 165/300, validation loss: 0.049497, learning rate: 0.00016
Epoch: 166/300, validation loss: 0.049484, learning rate: 0.00016
Epoch: 167/300, validation loss: 0.049467, learning rate: 0.00016
Epoch: 168/300, validation loss: 0.049455, learning rate: 0.00016
Epoch: 169/300, validation loss: 0.049459, learning rate: 0.00016
Epoch: 170/300, validation loss: 0.049447, learning rate: 0.00016
Epoch: 171/300, validation loss: 0.049457, learning rate: 0.00016
Epoch: 172/300, validation loss: 0.049424, learning rate: 0.00016
Epoch: 173/300, validation loss: 0.049424, learning rate: 0.00016
Epoch: 174/300, validation loss: 0.049410, learning rate: 0.00016
Epoch: 175/300, validation loss: 0.049394, learning rate: 0.00016
Epoch: 176/300, validation loss: 0.049389, learning rate: 0.00016
Epoch: 177/300, validation loss: 0.049387, learning rate: 0.00016
Epoch: 178/300, validation loss: 0.049372, learning rate: 0.00016
Epoch: 179/300, validation loss: 0.049372, learning rate: 0.00016
Epoch: 180/300, validation loss: 0.049346, learning rate: 0.00016
Epoch: 181/300, validation loss: 0.049348, learning rate: 0.00016
Epoch: 182/300, validation loss: 0.049343, learning rate: 0.00016
Epoch: 183/300, validation loss: 0.049328, learning rate: 0.00016
Epoch: 184/300, validation loss: 0.049331, learning rate: 0.00016
Epoch: 185/300, validation loss: 0.049331, learning rate: 0.00016
Epoch: 186/300, validation loss: 0.049311, learning rate: 0.00016
Epoch: 187/300, validation loss: 0.049318, learning rate: 0.00016
Epoch: 188/300, validation loss: 0.049309, learning rate: 0.00016
Epoch: 189/300, validation loss: 0.049288, learning rate: 0.00016
Epoch: 190/300, validation loss: 0.049298, learning rate: 0.00016
Epoch: 191/300, validation loss: 0.049280, learning rate: 0.00016
Epoch: 192/300, validation loss: 0.049266, learning rate: 0.00016
Epoch: 193/300, validation loss: 0.049265, learning rate: 0.00016
Epoch: 194/300, validation loss: 0.049262, learning rate: 0.00016
Epoch: 195/300, validation loss: 0.049252, learning rate: 0.00016
Epoch: 196/300, validation loss: 0.049239, learning rate: 0.00016
Epoch: 197/300, validation loss: 0.049229, learning rate: 0.00016
Epoch: 198/300, validation loss: 0.049217, learning rate: 0.00016
Epoch: 199/300, validation loss: 0.049231, learning rate: 0.00016
Epoch: 200/300, validation loss: 0.049210, learning rate: 0.00016
Epoch: 201/300, validation loss: 0.049212, learning rate: 0.00016
Epoch: 202/300, validation loss: 0.049203, learning rate: 0.00016
Epoch: 203/300, validation loss: 0.049203, learning rate: 0.00016
Epoch: 204/300, validation loss: 0.049179, learning rate: 0.00016
Epoch: 205/300, validation loss: 0.049195, learning rate: 0.00016
Epoch: 206/300, validation loss: 0.049174, learning rate: 0.00016
Epoch: 207/300, validation loss: 0.049177, learning rate: 0.00016
Epoch: 208/300, validation loss: 0.049172, learning rate: 0.00016
Epoch: 209/300, validation loss: 0.049148, learning rate: 0.00016
Epoch: 210/300, validation loss: 0.049155, learning rate: 0.00016
Epoch: 211/300, validation loss: 0.049163, learning rate: 0.00016
Epoch: 212/300, validation loss: 0.049141, learning rate: 0.00016
Epoch: 213/300, validation loss: 0.049149, learning rate: 0.00016
Epoch: 214/300, validation loss: 0.049134, learning rate: 0.00016
Epoch: 215/300, validation loss: 0.049109, learning rate: 0.00016
Epoch: 216/300, validation loss: 0.049130, learning rate: 0.00016
Epoch: 217/300, validation loss: 0.049115, learning rate: 0.00016
Epoch: 218/300, validation loss: 0.049114, learning rate: 0.00016
Epoch: 219/300, validation loss: 0.049117, learning rate: 0.00016
Epoch: 220/300, validation loss: 0.049053, learning rate: 3.2000000000000005e-05
Epoch: 221/300, validation loss: 0.049051, learning rate: 3.2000000000000005e-05
Epoch: 222/300, validation loss: 0.049049, learning rate: 3.2000000000000005e-05
Epoch: 223/300, validation loss: 0.049040, learning rate: 3.2000000000000005e-05
Epoch: 224/300, validation loss: 0.049036, learning rate: 3.2000000000000005e-05
Epoch: 225/300, validation loss: 0.049031, learning rate: 3.2000000000000005e-05
Epoch: 226/300, validation loss: 0.049028, learning rate: 3.2000000000000005e-05
Epoch: 227/300, validation loss: 0.049025, learning rate: 3.2000000000000005e-05
Epoch: 228/300, validation loss: 0.049021, learning rate: 3.2000000000000005e-05
Epoch: 229/300, validation loss: 0.049017, learning rate: 3.2000000000000005e-05
Epoch: 230/300, validation loss: 0.049017, learning rate: 3.2000000000000005e-05
Epoch: 231/300, validation loss: 0.049008, learning rate: 3.2000000000000005e-05
Epoch: 232/300, validation loss: 0.049009, learning rate: 3.2000000000000005e-05
Epoch: 233/300, validation loss: 0.049005, learning rate: 3.2000000000000005e-05
Epoch: 234/300, validation loss: 0.049002, learning rate: 3.2000000000000005e-05
Epoch: 235/300, validation loss: 0.048994, learning rate: 3.2000000000000005e-05
Epoch: 236/300, validation loss: 0.048992, learning rate: 3.2000000000000005e-05
Epoch: 237/300, validation loss: 0.048992, learning rate: 3.2000000000000005e-05
Epoch: 238/300, validation loss: 0.048988, learning rate: 3.2000000000000005e-05
Epoch: 239/300, validation loss: 0.048983, learning rate: 3.2000000000000005e-05
Epoch: 240/300, validation loss: 0.048979, learning rate: 3.2000000000000005e-05
Epoch: 241/300, validation loss: 0.048977, learning rate: 3.2000000000000005e-05
Epoch: 242/300, validation loss: 0.048979, learning rate: 3.2000000000000005e-05
Epoch: 243/300, validation loss: 0.048973, learning rate: 3.2000000000000005e-05
Epoch: 244/300, validation loss: 0.048966, learning rate: 3.2000000000000005e-05
Epoch: 245/300, validation loss: 0.048962, learning rate: 3.2000000000000005e-05
Epoch: 246/300, validation loss: 0.048959, learning rate: 3.2000000000000005e-05
Epoch: 247/300, validation loss: 0.048956, learning rate: 3.2000000000000005e-05
Epoch: 248/300, validation loss: 0.048957, learning rate: 3.2000000000000005e-05
Epoch: 249/300, validation loss: 0.048951, learning rate: 3.2000000000000005e-05
Epoch: 250/300, validation loss: 0.048946, learning rate: 3.2000000000000005e-05
Epoch: 251/300, validation loss: 0.048943, learning rate: 3.2000000000000005e-05
Epoch: 252/300, validation loss: 0.048940, learning rate: 3.2000000000000005e-05
Epoch: 253/300, validation loss: 0.048940, learning rate: 3.2000000000000005e-05
Epoch: 254/300, validation loss: 0.048936, learning rate: 3.2000000000000005e-05
Epoch: 255/300, validation loss: 0.048932, learning rate: 3.2000000000000005e-05
Epoch: 256/300, validation loss: 0.048931, learning rate: 3.2000000000000005e-05
Epoch: 257/300, validation loss: 0.048928, learning rate: 3.2000000000000005e-05
Epoch: 258/300, validation loss: 0.048923, learning rate: 3.2000000000000005e-05
Epoch: 259/300, validation loss: 0.048922, learning rate: 3.2000000000000005e-05
Epoch: 260/300, validation loss: 0.048918, learning rate: 3.2000000000000005e-05
Epoch: 261/300, validation loss: 0.048915, learning rate: 3.2000000000000005e-05
Epoch: 262/300, validation loss: 0.048911, learning rate: 3.2000000000000005e-05
Epoch: 263/300, validation loss: 0.048906, learning rate: 3.2000000000000005e-05
Epoch: 264/300, validation loss: 0.048905, learning rate: 3.2000000000000005e-05
Epoch: 265/300, validation loss: 0.048900, learning rate: 3.2000000000000005e-05
Epoch: 266/300, validation loss: 0.048899, learning rate: 3.2000000000000005e-05
Epoch: 267/300, validation loss: 0.048897, learning rate: 3.2000000000000005e-05
Epoch: 268/300, validation loss: 0.048888, learning rate: 3.2000000000000005e-05
Epoch: 269/300, validation loss: 0.048892, learning rate: 3.2000000000000005e-05
Epoch: 270/300, validation loss: 0.048888, learning rate: 3.2000000000000005e-05
Epoch: 271/300, validation loss: 0.048882, learning rate: 3.2000000000000005e-05
Epoch: 272/300, validation loss: 0.048882, learning rate: 3.2000000000000005e-05
Epoch: 273/300, validation loss: 0.048878, learning rate: 3.2000000000000005e-05
Epoch: 274/300, validation loss: 0.048875, learning rate: 3.2000000000000005e-05
Epoch: 275/300, validation loss: 0.048872, learning rate: 3.2000000000000005e-05
Epoch: 276/300, validation loss: 0.048865, learning rate: 3.2000000000000005e-05
Epoch: 277/300, validation loss: 0.048863, learning rate: 3.2000000000000005e-05
Epoch: 278/300, validation loss: 0.048859, learning rate: 3.2000000000000005e-05
Epoch: 279/300, validation loss: 0.048865, learning rate: 3.2000000000000005e-05
Epoch: 280/300, validation loss: 0.048860, learning rate: 3.2000000000000005e-05
Epoch: 281/300, validation loss: 0.048856, learning rate: 3.2000000000000005e-05
Epoch: 282/300, validation loss: 0.048853, learning rate: 3.2000000000000005e-05
Epoch: 283/300, validation loss: 0.048853, learning rate: 3.2000000000000005e-05
Epoch: 284/300, validation loss: 0.048844, learning rate: 3.2000000000000005e-05
Epoch: 285/300, validation loss: 0.048839, learning rate: 3.2000000000000005e-05
Epoch: 286/300, validation loss: 0.048841, learning rate: 3.2000000000000005e-05
Epoch: 287/300, validation loss: 0.048838, learning rate: 3.2000000000000005e-05
Epoch: 288/300, validation loss: 0.048835, learning rate: 3.2000000000000005e-05
Epoch: 289/300, validation loss: 0.048831, learning rate: 3.2000000000000005e-05
Epoch: 290/300, validation loss: 0.048831, learning rate: 3.2000000000000005e-05
Epoch: 291/300, validation loss: 0.048827, learning rate: 3.2000000000000005e-05
Epoch: 292/300, validation loss: 0.048826, learning rate: 3.2000000000000005e-05
Epoch: 293/300, validation loss: 0.048816, learning rate: 3.2000000000000005e-05
Epoch: 294/300, validation loss: 0.048818, learning rate: 3.2000000000000005e-05
Epoch: 295/300, validation loss: 0.048817, learning rate: 3.2000000000000005e-05
Epoch: 296/300, validation loss: 0.048812, learning rate: 3.2000000000000005e-05
Epoch: 297/300, validation loss: 0.048812, learning rate: 3.2000000000000005e-05
Epoch: 298/300, validation loss: 0.048800, learning rate: 6.400000000000001e-06
Epoch: 299/300, validation loss: 0.048798, learning rate: 6.400000000000001e-06
Epoch: 300/300, validation loss: 0.048796, learning rate: 6.400000000000001e-06
